Sample_ID	Tumor_ID	Normal_ID	Purity	Ploidy
GADCKL-Tu-0CDQVI_vs_GADCKL-N-0C9S5O	GADCKL-Tu-0CDQVI	GADCKL-N-0C9S5O	0.76	2.88267473058984
GADCKT-Tu-0CDQWQ_vs_GADCKT-N-0C9S8F	GADCKT-Tu-0CDQWQ	GADCKT-N-0C9S8F	0.79	2.48196737086472
GADCKZ-Tu-0BFR34_vs_GADCKZ-N-0C9S7E	GADCKZ-Tu-0BFR34	GADCKZ-N-0C9S7E	0.5	4.2512347064766
GADCLD-Tu-0BHRXZ_vs_GADCLD-N-0C9S5M	GADCLD-Tu-0BHRXZ	GADCLD-N-0C9S5M	0.71	3.2007954677583
GADCLG-Tu-0CDQWZ_vs_GADCLG-N-0C9S4Y	GADCLG-Tu-0CDQWZ	GADCLG-N-0C9S4Y	0.37	5.33224069116963
GADCLR-Tu-0CDQXK_vs_GADCLR-N-0C9S4U	GADCLR-Tu-0CDQXK	GADCLR-N-0C9S4U	0.4	3.59200914157412
GADCLW-Tu-0BHS7T_vs_GADCLW-N-0C9S76	GADCLW-Tu-0BHS7T	GADCLW-N-0C9S76	0.58	1.94365327807416
GADCMA-Tu-0BHSD2_vs_GADCMA-N-0C9S7T	GADCMA-Tu-0BHSD2	GADCMA-N-0C9S7T	0.22	3.21035035677062
GADCMD-Tu-0BHS8V_vs_GADCMD-N-0C9S5D	GADCMD-Tu-0BHS8V	GADCMD-N-0C9S5D	0.29	3.23263346080153
GADCME-Tu-0BHS5M_vs_GADCME-N-0C9S7K	GADCME-Tu-0BHS5M	GADCME-N-0C9S7K	0.4	2.32642507816884
GADCMZ-Tu-0BHS3K_vs_GADCMZ-N-0C9S7H	GADCMZ-Tu-0BHS3K	GADCMZ-N-0C9S7H	0.67	3.28445418732241
GADCNA-Tu-0BI508_vs_GADCNA-N-0C9S8Y	GADCNA-Tu-0BI508	GADCNA-N-0C9S8Y	0.61	3.6952687861735
GADCNB-Tu-0CDR00_vs_GADCNB-N-0C9S7O	GADCNB-Tu-0CDR00	GADCNB-N-0C9S7O	0.68	1.62962903562092
GADCNJ-Tu-0CDR1M_vs_GADCNJ-N-0C9S58	GADCNJ-Tu-0CDR1M	GADCNJ-N-0C9S58	0.48	2.40074675051234
GADCNX-Tu-0BHJPQ_vs_GADCNX-N-0C9S87	GADCNX-Tu-0BHJPQ	GADCNX-N-0C9S87	0.71	3.41003612105565
GADCRF-Tu-0CDQZ6_vs_GADCRF-N-0C9S5N	GADCRF-Tu-0CDQZ6	GADCRF-N-0C9S5N	0.37	1.61954129433413
GADCRK-Tu-0C0Z0A_vs_GADCRK-N-0BHAET	GADCRK-Tu-0C0Z0A	GADCRK-N-0BHAET	0.6	4.78998080168015
GADFXX-Tu-0C2S67_vs_GADFXX-N-0C9S8Q	GADFXX-Tu-0C2S67	GADFXX-N-0C9S8Q	0.3	2.06221443801401
GADFYV-Tu-0CDR3G_vs_GADFYV-N-0C9S5X	GADFYV-Tu-0CDR3G	GADFYV-N-0C9S5X	0.57	2.5969627479594
GADFZF-Tu-0CDR42_vs_GADFZF-N-0C9S6R	GADFZF-Tu-0CDR42	GADFZF-N-0C9S6R	0.8	1.73691849392784
GADGAB-Tu-0CDR5A_vs_GADGAB-N-0C9S77	GADGAB-Tu-0CDR5A	GADGAB-N-0C9S77	0.76	2.83995253576855
GADGAC-Tu-0CDR5W_vs_GADGAC-N-0C9S55	GADGAC-Tu-0CDR5W	GADGAC-N-0C9S55	0.76	4.16919503898854
GADGAD-Tu-0CDR4O_vs_GADGAD-N-0C9S5F	GADGAD-Tu-0CDR4O	GADGAD-N-0C9S5F	0.93	4.02930351529925
GADGAM-Tu-0CDR6I_vs_GADGAM-N-0C9S4W	GADGAM-Tu-0CDR6I	GADGAM-N-0C9S4W	0.51	3.23862228760869
GADGAR-Tu-0CDR7Q_vs_GADGAR-N-0C9S6D	GADGAR-Tu-0CDR7Q	GADGAR-N-0C9S6D	0.94	3.33257544771391
GADGAW-Tu-0BW60X_vs_GADGAW-N-0C9S7S	GADGAW-Tu-0BW60X	GADGAW-N-0C9S7S	0.9	1.70719720353727
GADGBF-Tu-0BYKMJ_vs_GADGBF-N-0C9S5U	GADGBF-Tu-0BYKMJ	GADGBF-N-0C9S5U	0.76	2.99510530999703
GADGBU-Tu-0BWR0A_vs_GADGBU-N-0C9S65	GADGBU-Tu-0BWR0A	GADGBU-N-0C9S65	0.81	3.15772846633391
GADGBU-Tu-0CDV91_vs_GADGBU-N-0C9S65	GADGBU-Tu-0CDV91	GADGBU-N-0C9S65	0.8	3.14577403240937
GADGCM-Tu-0CDR8C_vs_GADGCM-N-0C9SAL	GADGCM-Tu-0CDR8C	GADGCM-N-0C9SAL	0.88	1.92585837124932
GADGCX-Tu-0CDRA6_vs_GADGCX-N-0C9SAN	GADGCX-Tu-0CDRA6	GADGCX-N-0C9SAN	0.25	1.86158874007539
GADGCX-Tu-0CDRAS_vs_GADGCX-N-0C9SAN	GADGCX-Tu-0CDRAS	GADGCX-N-0C9SAN	0.35	2.06156091731862
GADGDC-Tu-0BX2D6_vs_GADGDC-N-0C9S6Q	GADGDC-Tu-0BX2D6	GADGDC-N-0C9S6Q	0.8	1.73934342766199
GADGDF-Tu-0BV37I_vs_GADGDF-N-0C9S62	GADGDF-Tu-0BV37I	GADGDF-N-0C9S62	0.85	4.22678735279858
GADGDG-Tu-0CDR8Y_vs_GADGDG-N-0C9S57	GADGDG-Tu-0CDR8Y	GADGDG-N-0C9S57	0.41	2.24379485945708
GADGEM-Tu-0BVOME_vs_GADGEM-N-0C9S68	GADGEM-Tu-0BVOME	GADGEM-N-0C9S68	0.6	3.13919098222983
GADGFF-Tu-0BVOSG_vs_GADGFF-N-0C9S9P	GADGFF-Tu-0BVOSG	GADGFF-N-0C9S9P	1	4.09071808627942
GADGFK-Tu-0CDRC0_vs_GADGFK-N-0C9SAP	GADGFK-Tu-0CDRC0	GADGFK-N-0C9SAP	0.49	2.63927849279456
GADGGB-Tu-0CDRC8_vs_GADGGB-N-0C9S4Z	GADGGB-Tu-0CDRC8	GADGGB-N-0C9S4Z	0.56	2.61242533526422
GADGGC-Tu-0CDRCU_vs_GADGGC-N-0C9S7C	GADGGC-Tu-0CDRCU	GADGGC-N-0C9S7C	0.53	3.63622642115362
GADGGF-Tu-0BVMWG_vs_GADGGF-N-0C9S81	GADGGF-Tu-0BVMWG	GADGGF-N-0C9S81	0.49	3.91011794514068
GADGGL-Tu-0BXU5G_vs_GADGGL-N-0C9S6F	GADGGL-Tu-0BXU5G	GADGGL-N-0C9S6F	0.85	3.23342219727796
GADGGS-Tu-0BWDCS_vs_GADGGS-N-0C9S7V	GADGGS-Tu-0BWDCS	GADGGS-N-0C9S7V	0.82	2.05230179233324
GADGHG-Tu-0CDRFO_vs_GADGHG-N-0C9S5T	GADGHG-Tu-0CDRFO	GADGHG-N-0C9S5T	0.4	1.72561256678812
GADGHK-Tu-0BYKS6_vs_GADGHK-N-0C9S79	GADGHK-Tu-0BYKS6	GADGHK-N-0C9S79	0.37	3.37938790811806
GADGHL-Tu-0CDRGA_vs_GADGHL-N-0C9S78	GADGHL-Tu-0CDRGA	GADGHL-N-0C9S78	0.57	5.27691684838379
GADGHS-Tu-0BVTZX_vs_GADGHS-N-0C9S6Z	GADGHS-Tu-0BVTZX	GADGHS-N-0C9S6Z	0.88	1.76959430479451
GADGHX-Tu-0CDREO_vs_GADGHX-N-0C9SAR	GADGHX-Tu-0CDREO	GADGHX-N-0C9SAR	0.8	3.88028304534338
GADGIH-Tu-0BWR2T_vs_GADGIH-N-0C9S6P	GADGIH-Tu-0BWR2T	GADGIH-N-0C9S6P	0.88	2.71098214752523
GADGII-Tu-0CDRI4_vs_GADGII-N-0C9S7W	GADGII-Tu-0CDRI4	GADGII-N-0C9S7W	0.8	1.95829608815383
GADGIM-Tu-0BVRXH_vs_GADGIM-N-0C9S74	GADGIM-Tu-0BVRXH	GADGIM-N-0C9S74	0.25	1.92172671908139
GADGIN-Tu-0CDRHI_vs_GADGIN-N-0C9S5I	GADGIN-Tu-0CDRHI	GADGIN-N-0C9S5I	0.47	3.26117563109092
GADGIZ-Tu-0CDRIQ_vs_GADGIZ-N-0C9S5W	GADGIZ-Tu-0CDRIQ	GADGIZ-N-0C9S5W	0.63	3.17988812917309
GADGJI-Tu-0CDRJY_vs_GADGJI-N-0C9S5A	GADGJI-Tu-0CDRJY	GADGJI-N-0C9S5A	0.73	2.15037310741165
GADGKJ-Tu-0CDRKK_vs_GADGKJ-N-0C9S97	GADGKJ-Tu-0CDRKK	GADGKJ-N-0C9S97	0	0
GADGMX-Tu-0CDRL6_vs_GADGMX-N-0C9S9J	GADGMX-Tu-0CDRL6	GADGMX-N-0C9S9J	1	2.44976134081974
